"lineno","category","level","message","timestampIso8601"
"1","logstash.modules.scaffold","INFO","Initializing module {:module_name=>""fb_apache"", :directory=>""D:/projects/elkstack/logstash-5.6.4/modules/fb_apache/configuration""}","2020-01-30T22:26:57,775"
"2","logstash.modules.scaffold","INFO","Initializing module {:module_name=>""netflow"", :directory=>""D:/projects/elkstack/logstash-5.6.4/modules/netflow/configuration""}","2020-01-30T22:26:57,822"
"3","logstash.pipeline","INFO","Starting pipeline {""id""=>""main"", ""pipeline.workers""=>4, ""pipeline.batch.size""=>125, ""pipeline.batch.delay""=>5, ""pipeline.max_inflight""=>500}","2020-01-30T22:27:00,256"
"4","logstash.pipeline","ERROR","Error registering plugin {:plugin=>""<LogStash::Inputs::File path=>[\""test.log\""], start_position=>\""beginning\"", codec=><LogStash::Codecs::Multiline pattern=>\""^%{TIMESTAMP_ISO8601}\"", negate=>true, what=>\""previous\"", id=>\""5214ce8cd6b5e57d516944cb1e2b93fb03be178c-1\"", enable_metric=>true, charset=>\""UTF-8\"", multiline_tag=>\""multiline\"", max_lines=>500, max_bytes=>10485760>, id=>\""5214ce8cd6b5e57d516944cb1e2b93fb03be178c-2\"", enable_metric=>true, stat_interval=>1, discover_interval=>15, sincedb_write_interval=>15, delimiter=>\""\\n\"", close_older=>3600>"", :error=>""File paths must be absolute, relative path specified: test.log""}","2020-01-30T22:27:00,991"
"5","logstash.agent","ERROR","Pipeline aborted due to error {:exception=>#<ArgumentError: File paths must be absolute, relative path specified: test.log>, :backtrace=>[""D:/projects/elkstack/logstash-5.6.4/vendor/bundle/jruby/1.9/gems/logstash-input-file-4.0.3/lib/logstash/inputs/file.rb:187:in `register'"", ""org/jruby/RubyArray.java:1613:in `each'"", ""D:/projects/elkstack/logstash-5.6.4/vendor/bundle/jruby/1.9/gems/logstash-input-file-4.0.3/lib/logstash/inputs/file.rb:185:in `register'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/pipeline.rb:290:in `register_plugin'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/pipeline.rb:301:in `register_plugins'"", ""org/jruby/RubyArray.java:1613:in `each'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/pipeline.rb:301:in `register_plugins'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/pipeline.rb:456:in `start_inputs'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/pipeline.rb:348:in `start_workers'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/pipeline.rb:235:in `run'"", ""D:/projects/elkstack/logstash-5.6.4/logstash-core/lib/logstash/agent.rb:408:in `start_pipeline'""]}","2020-01-30T22:27:01,116"
"6","logstash.agent","INFO","Successfully started Logstash API endpoint {:port=>9600}","2020-01-30T22:27:01,337"
"7","logstash.agent","WARN","stopping pipeline {:id=>""main""}","2020-01-30T22:27:04,142"
"8","logstash.modules.scaffold","INFO","Initializing module {:module_name=>""fb_apache"", :directory=>""D:/projects/elkstack/logstash-5.6.4/modules/fb_apache/configuration""}","2020-01-30T22:27:52,263"
"9","logstash.plugins.registry","DEBUG","Adding plugin to the registry {:name=>""fb_apache"", :type=>:modules, :class=>#<LogStash::Modules::Scaffold:0xf060454 @kibana_version_parts=[""5"", ""6"", ""0""], @module_name=""fb_apache"", @directory=""D:/projects/elkstack/logstash-5.6.4/modules/fb_apache/configuration"">}","2020-01-30T22:27:52,279"
"10","logstash.modules.scaffold","INFO","Initializing module {:module_name=>""netflow"", :directory=>""D:/projects/elkstack/logstash-5.6.4/modules/netflow/configuration""}","2020-01-30T22:27:52,279"
