# Wildfly server.log
"lineno","category","level","message","thread","timestampIso8601"
"1","org.jboss.modules","INFO","JBoss Modules version 1.9.0.Final","main","2019-03-04 22:30:15,465"
"2","org.jboss.msc","INFO","JBoss MSC version 1.4.5.Final","main","2019-03-04 22:30:16,324"
"3","org.jboss.threads","INFO","JBoss Threads version 2.3.3.Final","main","2019-03-04 22:30:16,340"
"4","org.jboss.as","INFO","WFLYSRV0049: WildFly Full 16.0.0.Final (WildFly Core 8.0.0.Final) starting","MSC service thread 1-2","2019-03-04 22:30:16,563"
"5","org.jboss.as.config","DEBUG","Configured system properties:","MSC service thread 1-2","2019-03-04 22:30:16,563"

# Activemq activemq.log
"lineno","category","level","message","thread","timestampIso8601"
"1","org.apache.activemq.xbean.XBeanBrokerFactory$1","INFO","Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@6b09bb57: startup date [Sat May 02 07:26:22 CEST 2020]; root of context hierarchy","main","2020-05-02 07:26:22,294"
"2","org.apache.activemq.broker.BrokerService","INFO","Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\berni3\Downloads\apache-activemq-5.15.12-bin\apache-activemq-5.15.12\bin\..\data\kahadb]","main","2020-05-02 07:26:23,516"
"3","org.apache.activemq.store.kahadb.plist.PListStoreImpl","INFO","PListStore:[C:\Users\berni3\Downloads\apache-activemq-5.15.12-bin\apache-activemq-5.15.12\bin\..\data\localhost\tmp_storage] started","main","2020-05-02 07:26:24,567"
"4","org.apache.activemq.broker.BrokerService","INFO","Apache ActiveMQ 5.15.12 (localhost, ID:DESKTOP-GHTTUME-64231-1588397184645-0:1) is starting","main","2020-05-02 07:26:24,817"
"5","org.apache.activemq.transport.TransportServerThreadSupport","INFO","Listening for connections at: tcp://DESKTOP-GHTTUME:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600","main","2020-05-02 07:26:24,871"
"6","org.apache.activemq.broker.TransportConnector","INFO","Connector openwire started","main","2020-05-02 07:26:24,875"
"7","org.apache.activemq.transport.TransportServerThreadSupport","INFO","Listening for connections at: amqp://DESKTOP-GHTTUME:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600","main","2020-05-02 07:26:24,893"
"8","org.apache.activemq.broker.TransportConnector","INFO","Connector amqp started","main","2020-05-02 07:26:24,895"
"9","org.apache.activemq.transport.TransportServerThreadSupport","INFO","Listening for connections at: stomp://DESKTOP-GHTTUME:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600","main","2020-05-02 07:26:24,895"
"10","org.apache.activemq.broker.TransportConnector","INFO","Connector stomp started","main","2020-05-02 07:26:24,895"

# Logstash logstash-plain.log
"lineno","category","level","message","timestampIso8601"
"1","logstash.modules.scaffold","INFO","Initializing module {:module_name=>""fb_apache"", :directory=>""D:/projects/elkstack/logstash-5.6.4/modules/fb_apache/configuration""}","2020-01-30T22:26:57,775"
"2","logstash.modules.scaffold","INFO","Initializing module {:module_name=>""netflow"", :directory=>""D:/projects/elkstack/logstash-5.6.4/modules/netflow/configuration""}","2020-01-30T22:26:57,822"
"3","logstash.pipeline","INFO","Starting pipeline {""id""=>""main"", ""pipeline.workers""=>4, ""pipeline.batch.size""=>125, ""pipeline.batch.delay""=>5, ""pipeline.max_inflight""=>500}","2020-01-30T22:27:00,256"
"4","logstash.pipeline","ERROR","Error registering plugin {:plugin=>""<LogStash::Inputs::File path=>[\""test.log\""], start_position=>\""beginning\"", codec=><LogStash::Codecs::Multiline pattern=>\""^%{TIMESTAMP_ISO8601}\"", negate=>true, what=>\""previous\"", id=>\""5214ce8cd6b5e57d516944cb1e2b93fb03be178c-1\"", enable_metric=>true, charset=>\""UTF-8\"", multiline_tag=>\""multiline\"", max_lines=>500, max_bytes=>10485760>, id=>\""5214ce8cd6b5e57d516944cb1e2b93fb03be178c-2\"", enable_metric=>true, stat_interval=>1, discover_interval=>15, sincedb_write_interval=>15, delimiter=>\""\\n\"", close_older=>3600>"", :error=>""File paths must be absolute, relative path specified: test.log""}","2020-01-30T22:27:00,991"
