%{TIMESTAMP_ISO8601:datetime} %{LOGLEVEL:level}%{SPACE:UNWANTED}\[%{DATA:category}\]%{SPACE:UNWANTED}\(%{DATA:thread}\)%{SPACE:UNWANTED}%{GREEDYDATA:message}
"category","datetime","level","message","thread"
"org.jboss.modules","2019-03-04 22:30:15,465","INFO","JBoss Modules version 1.9.0.Final","main"
"org.jboss.msc","2019-03-04 22:30:16,324","INFO","JBoss MSC version 1.4.5.Final","main"
"org.jboss.threads","2019-03-04 22:30:16,340","INFO","JBoss Threads version 2.3.3.Final","main"
"org.jboss.as","2019-03-04 22:30:16,563","INFO","WFLYSRV0049: WildFly Full 16.0.0.Final (WildFly Core 8.0.0.Final) starting","MSC service thread 1-2"
"org.jboss.as.config","2019-03-04 22:30:16,563","DEBUG","Configured system properties:","MSC service thread 1-2"
"org.jboss.as.config","2019-03-04 22:30:16,563","DEBUG","VM Arguments: -D[Standalone] -Xms64m -Xmx512m -Djava.net.preferIPv4Stack=true -Djava.awt.headless=true -Djboss.modules.system.pkgs=org.jboss.byteman -Dorg.jboss.boot.log.file=D:\projects\java-projects\eebatch\target\wildfly-16.0.0.Final\standalone\log\server.log -Dlogging.configuration=file:D:\projects\java-projects\eebatch\target\wildfly-16.0.0.Final\standalone\configuration\logging.properties ","MSC service thread 1-2"
"org.wildfly.security","2019-03-04 22:30:17,879","INFO","ELY00001: WildFly Elytron version 1.8.0.Final","ServerService Thread Pool -- 27"
"org.jboss.as.controller.management-deprecated","2019-03-04 22:30:18,744","INFO","WFLYCTL0028: Attribute 'security-realm' in the resource at address '/core-service=management/management-interface=http-interface' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.","Controller Boot Thread"
"org.jboss.as.controller.management-deprecated","2019-03-04 22:30:18,806","INFO","WFLYCTL0028: Attribute 'security-realm' in the resource at address '/subsystem=undertow/server=default-server/https-listener=https' is deprecated, and may be removed in a future version. See the attribute description in the output of the read-resource-description operation to learn more about the deprecation.","ServerService Thread Pool -- 5"
"org.jboss.as.server","2019-03-04 22:30:18,900","INFO","WFLYSRV0039: Creating http management service using socket-binding (management-http)","Controller Boot Thread"
"org.xnio","2019-03-04 22:30:18,931","INFO","XNIO version 3.6.5.Final","MSC service thread 1-2"
"org.xnio.nio","2019-03-04 22:30:18,931","INFO","XNIO NIO Implementation Version 3.6.5.Final","MSC service thread 1-2"
"org.jboss.remoting","2019-03-04 22:30:19,025","INFO","JBoss Remoting version 5.0.8.Final","MSC service thread 1-6"
"org.jboss.as.webservices","2019-03-04 22:30:19,041","INFO","WFLYWS0002: Activating WebServices Extension","ServerService Thread Pool -- 72"
"org.jboss.as.jsf","2019-03-04 22:30:19,056","INFO","WFLYJSF0007: Activated the following JSF Implementations: [main]","ServerService Thread Pool -- 56"
"org.jboss.as.clustering.infinispan","2019-03-04 22:30:19,056","INFO","WFLYCLINF0001: Activating Infinispan subsystem.","ServerService Thread Pool -- 49"
"org.wildfly.extension.microprofile.opentracing","2019-03-04 22:30:19,041","INFO","WFLYTRACEXT0001: Activating MicroProfile OpenTracing Subsystem","ServerService Thread Pool -- 61"
"org.jboss.as.txn","2019-03-04 22:30:19,041","WARN","WFLYTX0013: The node-identifier attribute on the /subsystem=transactions is set to the default value. This is a danger for environments running multiple servers. Please make sure the attribute value is unique.","ServerService Thread Pool -- 70"
"org.jboss.as.security","2019-03-04 22:30:19,072","INFO","WFLYSEC0002: Activating Security Subsystem","ServerService Thread Pool -- 68"
"org.wildfly.extension.microprofile.health.smallrye","2019-03-04 22:30:19,072","INFO","WFLYHEALTH0001: Activating Eclipse MicroProfile Health Subsystem","ServerService Thread Pool -- 59"
"org.jboss.as.jaxrs","2019-03-04 22:30:19,098","INFO","WFLYRS0016: RESTEasy version 3.6.3.Final","ServerService Thread Pool -- 51"
"org.wildfly.extension.microprofile.config.smallrye._private","2019-03-04 22:30:19,099","INFO","WFLYCONF0001: Activating WildFly MicroProfile Config Subsystem","ServerService Thread Pool -- 58"
"org.jboss.as.connector","2019-03-04 22:30:19,105","INFO","WFLYJCA0009: Starting JCA Subsystem (WildFly/IronJacamar 1.4.12.Final)","MSC service thread 1-4"
"org.jboss.as.naming","2019-03-04 22:30:19,111","INFO","WFLYNAM0001: Activating Naming Subsystem","ServerService Thread Pool -- 62"
"org.wildfly.extension.io","2019-03-04 22:30:19,112","INFO","WFLYIO001: Worker 'default' has auto-configured to 8 core threads with 64 task threads based on your 4 available processors","ServerService Thread Pool -- 50"
"org.jboss.as.security","2019-03-04 22:30:19,125","INFO","WFLYSEC0001: Current PicketBox version=5.0.3.Final","MSC service thread 1-3"
"org.wildfly.extension.microprofile.metrics.smallrye","2019-03-04 22:30:19,131","INFO","WFLYMETRICS0001: Activating Eclipse MicroProfile Metrics Subsystem","ServerService Thread Pool -- 60"
"org.wildfly.extension.undertow","2019-03-04 22:30:19,226","INFO","WFLYUT0003: Undertow 2.0.19.Final starting","MSC service thread 1-1"
"org.jboss.as.mail.extension","2019-03-04 22:30:19,241","INFO","WFLYMAIL0002: Unbound mail session [java:jboss/mail/Default]","MSC service thread 1-4"
"org.jboss.as.naming","2019-03-04 22:30:19,382","INFO","WFLYNAM0003: Starting Naming Service","MSC service thread 1-3"
"org.jboss.as.mail.extension","2019-03-04 22:30:19,413","INFO","WFLYMAIL0001: Bound mail session [java:jboss/mail/Default]","MSC service thread 1-1"
"org.jboss.as.connector.subsystems.datasources","2019-03-04 22:30:19,413","INFO","WFLYJCA0004: Deploying JDBC-compliant driver class org.h2.Driver (version 1.4)","ServerService Thread Pool -- 42"
"org.jboss.as.connector.deployers.jdbc","2019-03-04 22:30:19,538","INFO","WFLYJCA0018: Started Driver service with driver-name = h2","MSC service thread 1-6"
"io.smallrye.metrics","2019-03-04 22:30:19,538","INFO","Converted [2] config entries and added [4] replacements","MSC service thread 1-2"
"org.jboss.as.connector.subsystems.datasources","2019-03-04 22:30:19,745","INFO","WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]","MSC service thread 1-3"
"org.jboss.as.ejb3","2019-03-04 22:30:19,745","INFO","WFLYEJB0481: Strict pool slsb-strict-max-pool is using a max instance size of 64 (per class), which is derived from thread worker pool sizing.","MSC service thread 1-6"
"org.jboss.as.ejb3","2019-03-04 22:30:19,714","INFO","WFLYEJB0482: Strict pool mdb-strict-max-pool is using a max instance size of 16 (per class), which is derived from the number of CPUs on this host.","MSC service thread 1-8"
"io.smallrye.metrics","2019-03-04 22:30:19,808","INFO","Converted [3] config entries and added [14] replacements","MSC service thread 1-2"
"org.wildfly.extension.undertow","2019-03-04 22:30:19,824","INFO","WFLYUT0014: Creating file handler for path 'D:\projects\java-projects\eebatch\target\wildfly-16.0.0.Final/welcome-content' with options [directory-listing: 'false', follow-symlink: 'false', case-sensitive: 'true', safe-symlink-paths: '[]']","ServerService Thread Pool -- 71"
"org.wildfly.extension.undertow","2019-03-04 22:30:19,870","INFO","WFLYUT0012: Started server default-server.","MSC service thread 1-4"
"org.wildfly.extension.undertow","2019-03-04 22:30:19,886","INFO","WFLYUT0018: Host default-host starting","MSC service thread 1-8"
"org.jboss.as.patching","2019-03-04 22:30:20,027","INFO","WFLYPAT0050: WildFly Full cumulative patch ID is: base, one-off patches include: none","MSC service thread 1-4"
"org.jboss.as.server.deployment.scanner","2019-03-04 22:30:20,089","INFO","WFLYDS0013: Started FileSystemDeploymentService for directory D:\projects\java-projects\eebatch\target\wildfly-16.0.0.Final\standalone\deployments","MSC service thread 1-6"
"org.wildfly.extension.undertow","2019-03-04 22:30:20,606","INFO","WFLYUT0006: Undertow HTTP listener default listening on 127.0.0.1:8081","MSC service thread 1-3"
"org.jboss.as.ejb3","2019-03-04 22:30:20,668","INFO","WFLYEJB0493: EJB subsystem suspension complete","MSC service thread 1-3"
"org.jboss.as.connector.subsystems.datasources","2019-03-04 22:30:20,747","INFO","WFLYJCA0001: Bound data source [java:jboss/datasources/ExampleDS]","MSC service thread 1-4"
"org.wildfly.extension.undertow","2019-03-04 22:30:20,856","INFO","WFLYUT0006: Undertow HTTPS listener https listening on 127.0.0.1:8444","MSC service thread 1-5"
"org.jboss.ws.common.management","2019-03-04 22:30:20,950","INFO","JBWS022052: Starting JBossWS 5.2.4.Final (Apache CXF 3.2.7) ","MSC service thread 1-5"
"org.jboss.as.server","2019-03-04 22:30:21,313","INFO","WFLYSRV0212: Resuming server","Controller Boot Thread"
"org.jboss.as","2019-03-04 22:30:21,313","INFO","WFLYSRV0060: Http management interface listening on http://127.0.0.1:9991/management","Controller Boot Thread"
"org.jboss.as","2019-03-04 22:30:21,329","INFO","WFLYSRV0051: Admin console listening on http://127.0.0.1:9991","Controller Boot Thread"
"org.jboss.as","2019-03-04 22:30:21,329","INFO","WFLYSRV0025: WildFly Full 16.0.0.Final (WildFly Core 8.0.0.Final) started in 6625ms - Started 305 of 531 services (324 services are lazy, passive or on-demand)","Controller Boot Thread"
"org.jboss.as.repository","2019-03-04 22:30:21,971","INFO","WFLYDR0001: Content added at location D:\projects\java-projects\eebatch\target\wildfly-16.0.0.Final\standalone\data\content\b9\815a228420de77c2e4ef74631783f66710fb6c\content","management-handler-thread - 1"
"org.jboss.as.server.deployment","2019-03-04 22:30:22,002","INFO","WFLYSRV0027: Starting deployment of "eebatch-1.0-SNAPSHOT.war" (runtime-name: "eebatch-1.0-SNAPSHOT.war")","MSC service thread 1-5"
"org.jboss.weld.deployer","2019-03-04 22:30:24,375","INFO","WFLYWELD0003: Processing weld deployment eebatch-1.0-SNAPSHOT.war","MSC service thread 1-5"
"org.hibernate.validator.internal.util.Version","2019-03-04 22:30:24,527","INFO","HV000001: Hibernate Validator 6.0.15.Final","MSC service thread 1-5"
"org.jboss.as.ejb3.deployment","2019-03-04 22:30:24,777","INFO","WFLYEJB0473: JNDI bindings for session bean named 'BatchRestlet' in deployment unit 'deployment "eebatch-1.0-SNAPSHOT.war"' are as follows:","MSC service thread 1-5"
"org.infinispan.factories.GlobalComponentRegistry","2019-03-04 22:30:25,122","INFO","ISPN000128: Infinispan version: Infinispan 'Infinity Minus ONE +2' 9.4.8.Final","MSC service thread 1-8"
"org.jboss.weld.Version","2019-03-04 22:30:25,154","INFO","WELD-000900: 3.1.0 (Final)","MSC service thread 1-2"
"org.jboss.weld.Bootstrap","2019-03-04 22:30:25,655","WARN","WELD-000146: BeforeBeanDiscovery.addAnnotatedType(AnnotatedType<?>) used for class com.sun.faces.flow.FlowDiscoveryCDIHelper is deprecated from CDI 1.1!","MSC service thread 1-3"
"org.jboss.as.clustering.infinispan","2019-03-04 22:30:25,671","INFO","WFLYCLINF0002: Started client-mappings cache from ejb container","ServerService Thread Pool -- 5"
"io.smallrye.metrics","2019-03-04 22:30:25,686","INFO","MicroProfile: Metrics activated","MSC service thread 1-3"
"javax.enterprise.resource.webcontainer.jsf.config","2019-03-04 22:30:26,456","INFO","Initializing Mojarra 2.3.9.SP01 for context '/eebatch-1.0-SNAPSHOT'","ServerService Thread Pool -- 5"
"org.jboss.resteasy.resteasy_jaxrs.i18n","2019-03-04 22:30:27,709","INFO","RESTEASY002225: Deploying javax.ws.rs.core.Application: class org.huberb.eebatch.rest.RestletApp","ServerService Thread Pool -- 5"
"org.wildfly.extension.undertow","2019-03-04 22:30:27,772","INFO","WFLYUT0021: Registered web context: '/eebatch-1.0-SNAPSHOT' for server 'default-server'","ServerService Thread Pool -- 5"
"org.jboss.as.server","2019-03-04 22:30:27,866","INFO","WFLYSRV0010: Deployed "eebatch-1.0-SNAPSHOT.war" (runtime-name : "eebatch-1.0-SNAPSHOT.war")","management-handler-thread - 1"
"org.jboss.as.ejb3.invocation","2019-03-04 22:38:22,632","ERROR","WFLYEJB0034: EJB Invocation failed on component BatchRestlet for method public javax.ws.rs.core.Response org.huberb.eebatch.rest.BatchRestlet.start(java.lang.String): javax.ejb.EJBException: java.lang.NullPointerException","default task-1"
"io.undertow.request","2019-03-04 22:38:22,708","ERROR","UT005023: Exception handling request to /eebatch-1.0-SNAPSHOT/rest/batchrestlet/start: org.jboss.resteasy.spi.UnhandledException: javax.ejb.EJBException: java.lang.NullPointerException","default task-1"
"org.jboss.as.server","2019-03-04 22:39:39,167","INFO","WFLYSRV0272: Suspending server","Thread-2"
"org.jboss.as.ejb3","2019-03-04 22:39:39,167","INFO","WFLYEJB0493: EJB subsystem suspension complete","Thread-2"
"org.jboss.as.server","2019-03-04 22:39:39,167","INFO","WFLYSRV0220: Server shutdown has been requested via an OS signal","Thread-2"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,198","INFO","WFLYUT0022: Unregistered web context: '/eebatch-1.0-SNAPSHOT' from server 'default-server'","ServerService Thread Pool -- 5"
"org.jboss.as.mail.extension","2019-03-04 22:39:39,198","INFO","WFLYMAIL0002: Unbound mail session [java:jboss/mail/Default]","MSC service thread 1-8"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,230","INFO","WFLYUT0019: Host default-host stopping","MSC service thread 1-7"
"org.jboss.as.clustering.infinispan","2019-03-04 22:39:39,245","INFO","WFLYCLINF0003: Stopped client-mappings cache from ejb container","ServerService Thread Pool -- 80"
"org.jboss.as.connector.subsystems.datasources","2019-03-04 22:39:39,261","INFO","WFLYJCA0010: Unbound data source [java:jboss/datasources/ExampleDS]","MSC service thread 1-5"
"org.jboss.as.connector.deployers.jdbc","2019-03-04 22:39:39,261","INFO","WFLYJCA0019: Stopped Driver service with driver-name = h2","MSC service thread 1-7"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,292","INFO","WFLYUT0008: Undertow HTTPS listener https suspending","MSC service thread 1-2"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,292","INFO","WFLYUT0008: Undertow HTTP listener default suspending","MSC service thread 1-1"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,292","INFO","WFLYUT0007: Undertow HTTPS listener https stopped, was bound to 127.0.0.1:8444","MSC service thread 1-2"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,308","INFO","WFLYUT0007: Undertow HTTP listener default stopped, was bound to 127.0.0.1:8081","MSC service thread 1-1"
"org.wildfly.extension.undertow","2019-03-04 22:39:39,308","INFO","WFLYUT0004: Undertow 2.0.19.Final stopping","MSC service thread 1-3"
"org.jboss.as.server.deployment","2019-03-04 22:39:39,326","INFO","WFLYSRV0028: Stopped deployment eebatch-1.0-SNAPSHOT.war (runtime-name: eebatch-1.0-SNAPSHOT.war) in 138ms","MSC service thread 1-7"
"org.jboss.as","2019-03-04 22:39:39,333","INFO","WFLYSRV0050: WildFly Full 16.0.0.Final (WildFly Core 8.0.0.Final) stopped in 146ms","MSC service thread 1-2"
"org.jboss.modules","2019-03-04 22:40:01,738","INFO","JBoss Modules version 1.9.0.Final","main"
"org.jboss.msc","2019-03-04 22:40:02,412","INFO","JBoss MSC version 1.4.5.Final","main"
"org.jboss.threads","2019-03-04 22:40:02,427","INFO","JBoss Threads version 2.3.3.Final","main"
"org.jboss.as","2019-03-04 22:40:02,650","INFO","WFLYSRV0049: WildFly Full 16.0.0.Final (WildFly Core 8.0.0.Final) starting","MSC service thread 1-2"
"org.jboss.as.config","2019-03-04 22:40:02,652","DEBUG","Configured system properties:","MSC service thread 1-2"
